	id	sentence1	sentence2	similarity
3411	4c246034eb43278338513578c	the Owls and Cardinal will face off for the title tonight.	the Cardinal and Cardinal will face off in a decisive showdown.	3.5
4033	0918ba8daa5f5d9b7e44f5350	he could face a lengthy prison sentence and damage to his reputation.	their voices are a crucial part of accountability.	1.8
426	76cf17a0799b828b4ae462cfd	he is using a tool for a task it was not designed for.	she is enjoying the moment of freedom.	0.0
4476	6372b074ada1bf015f2f6d66e	the Shanghai Composite Index ended the day with a positive note.	the Shanghai Composite Index fell sharply today.	2.2
7788	1ba06c362561310bda721ad41	he indulges in a nostalgic evening of relaxation.	they are having a relaxing afternoon together.	2.8
5102	2e6e2719e8d87fd349ffba829	they seek closer ties with Moscow.	Crimean Peninsula officially becomes part of Russia.	2.8
6239	02b8256e0cb03f51c74b9bafe	a serene scene is unfolding.	a canine is roaming in a verdant area.	2.8
3409	cc6478caff6e056e07a8d2243	notebooks were the best-selling unit volume.	the majority of monitors sold were CRTs.	1.2
6946	7151409328add69604d8f631a	the helicopter crash was catastrophic.	the helicopter was operated by Sundance Helicopters Inc.	2.0
398	39d10204fa67cf3ebb9de8603	it is being manually cut with a sharp object.	a rectangular shape is being created.	4.0
2066	8c93143e4016c3dd2158b8a45	it remains a cautionary tale of human error and hubris.	the evidence suggests otherwise.	1.6
716	ae894ce04560e81dcdb423a5b	he is discharging a firearm.	he fires a shotgun.	5.0
2219	e7fe5b9e1e71651296cbfebb3	they serve distinct purposes.	people have varying perspectives.	1.2
1313	c7a3bd9272ff5d1f20bf96f74	a elegant dessert scene unfolds.	a cyclist is enjoying a pleasant ride.	0.4
2383	e4f9286f72faced26e2663faf	it is a spiritual and moral framework that guides individual and collective behavior.	it has shaped the way people live and interact with each other.	1.2
3058	03f29321041fb557c7b11354c	the victims were a male and female duo and a male colleague.	the explosion caught the employees off guard.	4.4
8510	1005b551f39b4f77963e2b539	a devastating terrorist attack has occurred in the region.	thousands are left homeless and rescue efforts are underway.	1.0
3571	30d04c94d1af361839418a981	ensuring a stable and secure energy supply is crucial for the region.	it provides a foundation for stability and cooperation in the region.	5.0
4868	7cd30b0f381a93c4f9bcf0213	a devastating natural disaster has struck the region.	hundreds of people are feared trapped under rubble.	3.0
6457	d6327dc172e0ccf2de9ea8514	I understand the concept of context.	the phrase is used to indicate a certain extent or degree.	1.8
5460	602f484e65604e6333f87a5e4	it is a step towards peace in the region.	a gesture of goodwill towards the Palestinian Authority.	4.6
5265	550bf889c1a73f04eff62335e	the court's decision will have significant implications for racial diversity in higher education.	the court will review the constitutionality of race-based admissions policies.	4.4
160	b459cb9b9a63201281f6b4e80	they are riding the ocean's fury.	they are riding the waves.	3.6
5436	6db0eb96a0158e65eaa3359b5	marijuana possession will no longer be a criminal offense in the district.	possession of small amounts is no longer a crime.	5.0
1259	794ee6fb9c533af9f76827a94	they are having a heated conversation.	they are engaged in a staring contest.	4.2
4316	604390191b232990d349e7c9d	the Chinese currency is experiencing a decline.	the Chinese currency has weakened slightly.	2.8
3172	17f7638ed41ffb6275d67ebc9	the grocery store workers are on strike.	the grocery workers' strike has begun.	4.0
1311	f3295ba31a8c9e175d2b13eab	the room is well-lit and furnished.	the room is occupied.	2.6
3238	d439c758fe9f8ea8264aa39d0	the S&P 500 Index fell by 0.05%.	the Nasdaq Composite Index has risen slightly.	0.889
2710	5fc3b77f75894966d3629c90a	she will face stiff competition from other top golfers.	the golf tournament continues with the main course.	3.0
6025	9aa07db7a4e5b5c2dfdf3d1b1	global news updates are publicly showcased.	he is just wearing his running gear.	0.0
3124	823163a1b5c522e67043cfa6d	the site provided guidelines for hackers in broken English.	the challenge rules are listed in broken English on the website.	3.0
7666	d51ac3793d4334c25adfdb6cf	three kids are having fun with playthings.	a scene of innocent childhood joy unfolds.	4.2
2174	be8d50f9d2747802c39055cc0	simply stating the truth is always the best option.	I have not provided any evidence.	2.4
2858	cf634b92adea9ff7993889104	his securities license could be revoked indefinitely.	he risks severe consequences for his professional career.	3.333
5796	cdd12209ddbd44a58b4ffeea6	he is on horseback.	she is gardening.	0.0
5853	dd9e8731261ce4503c86c7e55	she is preparing a meal.	he is performing a sleight of hand.	0.0
5517	e70cb5629d9e9458754289563	diplomatic efforts are underway to ease the situation.	the US decision to halt missile tests is a step towards international cooperation.	3.4
6070	456c23f29f55f876b2d2e6c96	she is enjoying her snack time.	the scene is one of joy and contentment.	1.6
7154	50597c2dc15a8bcd40cb4ee9e	multiple people are still trapped and rescue efforts are ongoing.	a rescue operation is underway to search for survivors.	3.2
2285	700fcb2ded66160b89c120da5	it's all about the algorithms.	it's about being a good person.	2.0
4908	afd803cdd9f37cf8aeebe6923	the international community should work together to ensure their safe return.	the election is now too close to call.	0.6
5097	028a3abdfd9d3c97ed5f19bf4	thousands are displaced and many more are missing.	a devastating accident occurred in the stadium.	0.4
7516	c1d516467c4c7fe048a5cd1e9	a common mode of public transportation is visible.	it navigates through heavy traffic.	3.6
5654	d0cd929a072da0b9f46461910	targeting more individuals and entities in response to Ukraine invasion.	tightening economic pressure on Moscow.	5.0
7382	105d7aa0aa352a0a7af78a2ed	she is preparing a side dish for dinner.	she is preparing a potato dish.	5.0
6113	0398c452b8d674289ae631947	a picnic is taking place.	they have an outdoor picnic.	4.2
1909	b679083a14222d5a25a8d86ee	he is a rooftop jumper.	he is performing a daring acrobatic stunt.	2.8
4688	39c3e2e3e5be95c2e7a0eaf91	Mohamed Morsi's presidency has been marked by turmoil and unrest.	demanding political reforms and an end to government repression.	1.8
3440	eb446b0a8adce9e650ed801b5	the state Senate has approved a bill to aid a Michigan-based development company.	the proposal is a step towards protecting Taubman Centers' independence.	2.75
5338	91c5af87ec9350f87d9cee0a3	judges will deliver their judgments today.	the perpetrator will face severe punishment.	3.8
3641	cbd01cb1b934f5ee367411d79	brazil aims to strengthen its military capabilities through international cooperation.	the plan aims to strengthen brazil's military capabilities through international cooperation.	3.8
1041	020d8e2f517b236cc62039ead	a bird is perched on the gate.	a vibrant creature finds shelter in a precarious perch.	3.2
6749	c8a9ecd9553dac776b25b8729	the Nasdaq Composite Index fell slightly.	the stock market gained 0.32%.	0.8
2720	757f3ce7066d5d799f3f4e998	the same issue was found on a Southwest Airlines plane in Houston.	a passenger's luggage was found to contain a suspicious item.	3.4
7355	c3fb96a4622ba46baac8eaea6	he is strumming a melodic tune.	the boy is conversing with a massive canine.	0.0
6949	23342fd59003a5066cdd5e8b7	the prisoners used a makeshift tool to breach the perimeter.	the prison break was a daring and well-planned escape.	3.5
692	f6595fce3f58ff75a9ce3d3f1	he's a master of unconventional music-making techniques.	he is using his sense of smell to create music.	4.4
146	486180f20e4834acc571937a3	it is exhibiting a form of instinctual behavior.	it's just trying to find its way out.	3.8
4674	3357a75ded62ffa03f4a34fe5	the innocent lives lost are a tragic reminder of the ongoing conflict.	a tragic reminder of the devastating consequences of war.	3.0
4987	f8ca109d566207062e887332b	dozens are injured in the devastating terrorist attacks.	multiple innocent lives are lost in the blast.	3.0
3369	406799f0509ed11f5fc9f22b1	the schoolchildren's legal team will continue to fight for their rights.	the decision will be reviewed by a higher court.	3.667
3621	779940428ee9fc0f1fc99918d	the sale of attack helicopters to Myanmar violates EU arms embargo.	the sale of helicopters to myanmar is a blatant disregard for international law.	3.8
1784	a2fba9c4abf8274c2dd4d49b8	a bovine canine is galloping through a pasture.	it's a playful Labrador Retriever.	2.2
81	2e8c969a9aab020b2b0ab5585	it's a refreshing snack for the canine.	it's enjoying a refreshing snack.	4.25
6920	b0c23f003836f5e138e86b30d	Mickey Robinson's departure was due to a breach of company policies.	Mickey Robinson's tenure as CEO came to an abrupt end in September.	4.4
4456	6a7a8dd33d13e8acb012be160	the couple has decided to go their separate ways.	their marriage of 14 years is coming to an end.	4.4
4620	136a1550d334726c40e520b3d	France and Australia will face off in a historic match.	he will be grilled about his statements' implications on gun control and public safety.	0.0
3602	391c5439ab771c92e4674073e	its payload capacity remains unknown.	its payload capacity remains unclear.	5.0
5847	56ae2a5d6ed0f28aee297b8bf	a feline is bouncing with joy.	he is preparing a salad.	0.0
3878	b689aedaa9b4d03480efdcc22	Israel's military actions in Gaza are a response to ongoing rocket attacks.	the violence in Gaza escalates further.	3.4
6652	559d125aff67515f6051e34e4	stay focused on the present moment.	I have been studying it extensively.	0.0
5239	419b1a806379c4db9b8cb015f	China's cooperation is crucial for a peaceful resolution.	the two countries' economic cooperation has come to a complete halt.	0.8
1484	18718ab69e71bb87ddac08714	a photograph of a sheep grazing in a lush meadow.	A close-up of a lamb with its ear tagged, standing on grass.	1.8
858	b39fe45247aae08c6523798eb	she is adding flavor to the dish.	he is preparing for a hunting trip.	0.0
1906	4d4bb7586f0c01eabbd51b727	a canine with distinctive ear color is sprinting in a winter landscape.	a canine is swimming in the water.	0.6
3968	f9fb83e357cf1d0e3c2ab7474	he's expected to win the state's Republican primary.	he gains momentum in the Republican primary.	1.0
729	54e4368e9bec16e44f97b8d05	he blew his horn with great enthusiasm.	he is making beautiful music.	4.4
3482	368f2e1cdfef40760d812a936	it would grant the military more autonomy and flexibility in its operations.	this move aims to increase the military's flexibility and autonomy.	3.8
1243	b7db8b3deebc1f3b8b06fd475	they are heading for a snack.	birds are attracted to the feeders.	3.6
7171	691a0fcda07e00d6d755192e8	a rescue operation is underway.	six people lost their lives in the tragic incident.	2.6
5303	a6378a926afe2eb3836efbc35	its commitment to regional security remains unwavering.	he is emphasizing the US commitment to their security.	4.0
5114	651cb81f4317a7551e140b250	the situation in Iraq remains unstable and volatile.	the violence in Iraq is a major concern.	1.4
7678	9794e238083dba51f6c57b9e9	enjoying a serene sunset together.	a serene and peaceful scene unfolds.	4.6
6021	2ba00b055792d392bedaa39f9	a mother with a child in her arms.	a happy family portrait is being captured.	3.0
4319	296b2af872beaa1e2c18d32e9	Barack Obama's victory speech is a historic moment in American politics.	the 2012 US presidential election is officially over.	4.0
3026	9432f85f9bd224d294c20c00e	the trial will resume on Monday after the holiday.	the trial will resume on Monday.	3.0
2781	d7c1b45add4df0ef316523d6d	the number of active probable cases in GTA has decreased significantly.	the number of active probable cases has significantly decreased.	1.5
3609	61f4d153910927948069c35fc	foreign sources were the primary launch points.	the attacks have russian roots.	1.8
5093	abe7c0818e0fb3dcf7c7742f6	the Singapore stock market is off to a positive start.	the Straits Times Index falls 0.5%.	2.2
6903	958710c3f9d0369898f5fa515	the company has expanded its retail presence significantly.	the company has expanded its presence in the market.	3.0
5825	6620405c801aca6d9b2704c6d	he was video chatting with her.	they are having an online conversation.	2.8
5733	3b0a4f15029d63925243d362f	the diplomatic efforts aim to reduce tensions.	the Sultan's coronation ceremony is a grand affair.	0.0
6393	1aba60df1174904b87503a275	the two galaxies are on a collision course.	the universe will experience a spectacular cosmic merger.	4.4
2497	238246f0990cb071e2a7d3a46	the film is a fascinating exploration of the Red Scare's impact on Hollywood.	the film explores the complex relationship between artistic integrity and political pressure.	2.6
61	d4c7832cf86587117c60c8597	he uses a tool to fell the tree.	he used a tool to fell the tree.	4.75
1694	1419f645be310fd349aa86148	he is perched at the summit.	they are at the summit.	2.4
3264	75d5dbf351083c968fb483ac3	he became a devout follower of the faith.	he deepened his understanding of Islamic theology and practices.	3.0
7038	a1979ac7bc4c2b98699bdd2d4	he emphasizes the threat of a nuclear Iran to American interests.	Iran's alleged involvement in the attacks is a major concern for Israel's national security.	1.2
8605	f115dfde741d5d1481bc42606	the practice is morally reprehensible and illegal.	child marriage is a violation of human rights.	3.0
264	914cc0b733bd243f4a73bfeb4	he is preparing a meal.	she is preparing a spicy dish.	1.4
6132	4b1153354beba985e7ff392a0	they are posing in front of a majestic oak.	they are admiring the rustic art piece.	1.2
5023	4ffa34f70bfd74b4595173b72	he leaves behind a legacy of fighting for equality and justice.	he was a legendary anti-apartheid revolutionary and politician.	5.0
3679	f48ad39642adfca0621a4183c	the five permanent members of the UN Security Council are the UK, China, France, Russia, and the US.	these countries are the G7 members.	3.6
6211	0afeb62350f8da1dbc67af007	they are participating in a water sports competition.	they take a family photo.	0.8
53	bc300cb4e9b0f7b627555a5f3	the dog is showing affection to the baby.	the dog is showing affection to the baby.	4.75
833	5965b52e0decd98c8b65379dc	he is preparing a stuffed pepper dish.	they are preparing it for stuffing.	4.0
7934	3fcd818a74c18f31b187ef62d	the outcome of the grant application will determine the project's feasibility.	the specific context is crucial.	2.0
2200	c587ca900f31958761729f730	she was a remarkable woman.	she had a kind heart.	4.0
694	aef1ec441bce99d8377c168dc	a hungry creature is devouring its food.	it is jumping with joy.	0.4
7682	7e7af1f16e86d1a4c4dd97fd9	a canine is enjoying a leisurely stroll.	a canine is sprinting along a trail.	3.4
3764	90507bd8fb6ec5bd59f5097aa	US-Israel relations will be negatively impacted.	the rule is seen as a threat to religious freedom.	0.4
5445	4a7df8d8caf30b89210ad1765	the deadline for a breakthrough has been pushed back to November.	the deadline for a deal is now November 24.	4.4
2288	96a8595a82951ba123ffaf4e6	he just wanted to have a friendly conversation.	he intended to let him go.	2.4
7644	3d6e41a546e6ebb9d36b5b7da	they are discussing the architectural plans.	they are enjoying a leisurely ride on the beach.	0.4
5292	f55537d2acbd4ba8885d729aa	pay tribute to his legacy and honor his memory.	discuss ways to continue his legacy.	4.6
5131	0ceb830e3a88d490c0a147010	the United States Congress passes the first federal income tax.	is the anniversary of the birthday of William Shakespeare.	1.8
4005	2f4078d5752ed7cfc5ea4faaf	the security situation in Iraq has improved significantly.	include a major operation against Taliban militants in the country's northwest.	1.6
7833	edf3746ab72b0b709873ca494	her business is struggling.	she is running a market stall.	2.0
4871	324859f732621af203f3c36ab	the strategic victory gives them control over the region.	the strategic location is crucial for their military campaign.	3.8
1051	816ea99e0c4dcb71452c01623	a minimalist interior design concept is being showcased.	a monochrome image of a bovine in a arboreal setting.	0.0
2524	69e52eec1012b9a96c107594f	a decision on the leadership crisis will be made within 10 days.	the party will hold internal discussions to decide on its leadership.	3.6
4194	e61b40b2aa9a2857cce96a6dd	he is a high-profile political figure.	the scandal has caused a significant blow to his administration's reputation.	0.6
974	52981cdf6f4b33080d819b261	she is preparing a warm meal.	she is cooking noodles.	4.333
7429	edfd67b6590e9c2d76cb12307	she is engaging in physical activity.	he is moving his body to the rhythm.	0.25
5649	aa601ade7da60028539fb315c	the Catholic Church urges immediate global cooperation to mitigate its effects.	the world's future is at stake.	5.0
535	dee532f115d1e611f6f1695be	he is strumming the strings.	he is strumming the strings.	5.0
5970	70b29569492461f4ec9e5a685	she is enjoying a leisurely ride along the shoreline.	she is doing the dishes.	0.2
7938	cfd8cb513c8587cf0fe6df83b	it's all about the same outcome.	the outcome will be the same either way.	4.0
1343	eb4a47e69dd42bc1cf649b3fa	is riding through the countryside.	he is riding a solitary bike.	3.6
4553	5bd5c1213bb64741e695cfc18	three American soldiers were killed in the attack.	Afghan soldiers turned against their international allies.	3.8
222	6f326e553dd7b1b6617ed0075	he is strumming the strings.	he strums the strings with his fingers.	3.75
6528	0734555d2b382cd1c9ea552d2	numerous routes and trails available for hiking and exploration.	understanding the basics is crucial for success.	0.6
1040	6ad08db4247af9aa7aa4f75f6	two friends enjoying a casual evening together.	they are enjoying each other's company.	3.2
1568	8706986f7a85d8277dc1f4079	she is a young woodsman.	she is enjoying the water.	2.2
5720	a58bf33755defe48d10915ba8	North Korea's reluctance to engage in diplomatic discussions is a major concern.	the Mers outbreak is spreading rapidly.	1.0
7198	7dfd1f574ff23f9ee8fb808eb	the situation in Ukraine is a major concern for both countries.	Xi Jinping is greeted by Argentine officials.	0.2
2410	dcbf8c64ccceb8bb9cc41aef3	it was a ridiculous trend.	I believe in equal love and freedom.	1.2
7496	b0cf92629d8375c87de23fb6b	they are preparing a salad.	the cook is preparing a salad.	1.8
4531	d8135617a61379c3bc48d223b	at least 50 people are injured in the accident.	a tragic incident has occurred in the country.	1.2
4455	d96fa6aa65c0e41c284ecc87d	the trafficked organs were sold on the black market.	the three individuals convicted of organ trafficking will serve prison sentences.	2.8
1649	35871bad9178c93534322ea31	a commuter is resting on the subway.	he is a commuter who values comfort over social norms.	4.6
459	058cc1707a5dc870f89be8222	it swims with ease.	a primate is traversing a wetland.	3.4
1176	6967b0776ac8bf458a270b562	it's grazing peacefully.	a majestic creature grazing peacefully.	4.0
2971	a55202e9df76372dcda53f740	the military's campaign has resulted in a significant loss of life.	the military's operation has resulted in significant losses.	3.0
1814	0667d307d79756d44670fd536	the scene is one of unrequited love and social awkwardness.	the boy is having a great time with his friends.	0.2
5259	725378512ea887fee0653ee06	millions of Indians are casting their ballots.	over 900 million people are casting their ballots.	5.0
2451	4dbbffc08a35a16bbcfb2ca22	investors are feeling more secure about the market.	the community feels safer with the police presence.	3.4
7681	8145555a35728f5e7b945803b	they are sleeping.	they are engaged in a boxing match.	0.0
6933	ceb395bb14802295a649aaf8a	he maintained his defiance in the face of the allegations.	he faces potential removal from office.	3.8
8483	8633cac4082ff2064d2214300	the reunions are likely to be cancelled again.	reunions are put on hold indefinitely.	3.8
4405	1f88305818c56e89ce245a92b	Cuba takes on a leadership role in the region.	Cuba will lead the Community of Latin American and Caribbean States.	5.0
4626	d06ed483d8139a0bfca921374	the region's economic outlook has improved significantly.	the region's economic outlook has improved significantly.	3.4
2819	9e2b45dc046e07a387b0eecb3	the evidence is conclusive.	the discovery is a major breakthrough in space exploration.	3.6
313	099773dca1e59df64effcd2b5	the monkey and dog are engaged in a playful interaction.	the playful encounter is entertaining the visitors.	2.8
3252	bd893fb2ecf0822cd6c2d5ff1	the stock price increased by 5.3% to $32.26.	the stock price dropped by 4.4% to $30.63.	2.0
7160	120d03d927a79cce2e0ff3fbf	she will guest star as a passionate advocate for education reform.	she will guest star as a character in the show.	4.6
471	690e15d893efb2b05b001bbd0	it's a major milestone in their development.	the sudden noise startled the other infant.	1.2
1440	7a429e3b2070aeb8849af4835	it's swimming.	it's a rare and beautiful sight.	3.6
2202	f514a83e37e10181e5a73b7cd	I'm just a robot trying to help.	you're clearly frustrated.	1.75
4529	f12631d1c99bae6d7671e5b28	the crisis is spreading across Europe.	they will work together to ensure food safety and consumer trust.	3.0
5106	cb1c15ccfd7c3824a0ae1f2a4	it believes a diplomatic solution is the best approach.	range from concern about civilian casualties to support for a strong international response.	1.6
3613	750f88749d4f5c8ae3596a068	the ESA's space exploration programs.	it plays a crucial role in the development of space exploration.	1.2
8169	3679889279d1656f77d7f24c4	they are adhering to established guidelines to prevent the spread of disease.	adhering to established guidelines to ensure public safety.	3.0
6430	2d8e60491f9dae4ef25955449	I consider the number of eggs a constant factor.	I need to practice boiling eggs more often.	3.0
3009	d2ab3d94e376e9d6a43bcdc98	claims are expected to be around 410,000.	the labor market trends are showing signs of improvement.	3.4
456	33e83e9bc6ad73136baf59328	a young child is entering a canine shelter.	a feline is having fun on the ground.	0.0
6982	7d4dc24a0b424854198496633	he is facing serious financial crime allegations.	she is facing legal proceedings.	3.0
3460	f598210558e311461690fd7e3	Russia's troop withdrawal from Moldova and Georgia is a precondition for NATO treaty ratification.	the treaty ratification is conditional on Russia's full withdrawal from Moldova and Georgia.	4.6
8005	f453d0a2970ffd92828542686	it's just the way things are.	it's just the way things are.	5.0
7220	8f9c2bc6c19b3a7c1e222912f	a devastating fire has ravaged a residential area.	the attack has sparked widespread condemnation.	1.4
5711	5c52bf47f5ebd47863bb00015	he will be eligible for parole in 3 years.	the sentence is a reminder of the importance of holding individuals accountable for their actions during the Holocaust.	0.0
8562	e922d565afa634fe51897d314	nuclear negotiations are expected to restart soon.	progress is being made towards a mutually beneficial agreement.	1.6
1333	42880b48d978120e4046c5685	a gathering of friends enjoying a meal together.	having a meal together is a social activity.	4.6
6109	5a26a9ad0c89956857f7fb561	she is hitchhiking on a bike.	the lake is situated at the foot of the mountain.	0.0
1007	696c6cdc18237db6e9708a51f	a majestic equine visage is depicted.	a horse's head is seen from the side.	3.4
5348	82d677ddc99facf14c572202a	their families receive compensation and honors.	the market indices closed with modest losses.	0.2
5828	2baae9b451d687d96b62090ba	the kittens are having a meal with five plates.	they are enjoying their meals.	2.75
3133	692a60d203904cc5df6c6480a	the Nasdaq Composite Index has increased by 1.06%.	the stock market index rose by 0.56%.	1.0
4483	6658c9d54288dbcc984cc067c	the airline's profit margins may not be as high as previously expected.	the airline industry's growth may be slowing down.	3.4
8043	980bc21f29c695543bc28d68e	you can simply ignore it.	it's more about the content inside.	1.0
6284	3e21255b5f84b306884674cdc	they are engaged in a friendly competition.	they are having fun together.	3.4
4796	ec906cc77c726b9892e048c7d	Congress must find a solution before the deadline.	his legacy is defined by partisan gridlock.	1.0
1187	573793065cb61899560c141a2	a high-tech workstation is being described.	a workstation for a developer is set up.	4.0
2204	9435532fcd5517c48784d6fc1	we should focus on issues, not faith.	the Bible is the ultimate authority.	0.8
3914	512fc13864be02db9923da41e	the court's decision will have far-reaching implications.	they are accused of exploiting their family ties for financial gain.	1.4
1374	fef8b8eaab221c51492548b29	it is a solitary bovine in a frigid outdoor space.	a bovine silhouette against a rural backdrop.	1.8
888	38403e3f3bde1f3784e86bf37	it's a gentle and caring gesture.	they are providing sustenance to the creature.	3.0
2678	b12d54ec9d7243855f09e92cc	they are at risk of being executed.	they are at risk of severe punishment in a foreign country.	3.25
4580	94b1fe9fda352e4df18c64b8e	are being deployed to maintain peace and stability.	the city is in a state of chaos.	2.0
4346	8aacac71e681353a4001dcd8d	discussions are underway to strengthen their mining partnership.	the US is seeking diplomatic solutions in the region.	1.2
2698	dfd629c3a2ec92c9d6e40aebb	he was accused of using the report for political gain.	he is running for the highest office in the land.	2.25
5559	93a400cc00ac976d27cfd65e3	the country's LGBTQ+ community faces increased persecution.	the law criminalizes same-sex relationships and imposes harsh penalties.	4.0
41	d858ffbf3cd96269074f2c7ad	she is shredding on her axe.	she is strumming a musical melody.	3.6
6332	b049521a5886711b67e100ad9	a doctor orders treatment for the patient.	a doctor recommends a treatment.	4.4
5427	e16102e583a3967f4e15bb6a1	the police are taking a firm stance on public disorder.	she is committed to finding a lasting solution to the conflict.	0.0
2875	296ec4a21ebf38b0ad4c896c8	the survey's larger sample size provides a more accurate economic snapshot.	the payroll statistics are a more comprehensive representation of the economy.	4.0
2891	35167cdfe2859ca0d2dc9b395	the budget's fate remains uncertain.	the decision on the budget certification is pending.	3.167
2349	266b32b5ae4f4263327a374aa	it's already quite straightforward and doesn't need any adjustments.	add a dash of creativity and a pinch of enthusiasm.	2.4
6398	8755530fbff2d7eaebc3f45a6	the solar cycle's magnetic field fluctuations have a significant impact on our planet.	I will focus on forecasting the intensity and timing of solar flares.	0.8
2722	13559f041fa27ae2a88aeeefc	they resumed their duties as usual.	state employees will resume their duties on Friday morning.	2.6
5064	768729dbe066f48a41bbfc9e4	many lives were lost in the tragic accident.	a tragic accident has occurred in the state's wilderness.	1.4
7162	402e25d75e9a9fdbc072f76cc	he is maintaining his innocence and will contest the allegations.	he maintains his innocence and will vigorously defend himself.	1.4
517	9e1a826e0c724919cab230cc6	she is caring for a tiny amphibian.	a human is grasping an amphibian.	3.75
1798	864dd126313076e5b8e3ef6db	a canine is trekking through a winter wonderland.	a canine in winter attire is making its way through the snow.	4.4
35	074e0f7a6495bf8da5124f4e5	it's a rare and unusual sight.	the lion is in a playful mood.	3.4
2730	10c565e9cc843a1eb33649bdc	the manufacturing sector's performance is either contracting or expanding.	the sector's health is uncertain.	4.818
7594	95f3381ab93b25998be31ad07	they are having their photo taken.	a feline is admiring the photographer.	1.4
3073	dd95417a44421ef037297eb6b	the ATP is trying to sabotage his career.	they have been trying to sabotage his career.	4.0
3033	83dad9f64adea2b5d38c39fe7	the Israeli government is dismantling West Bank settlements.	Israel is implementing its commitment to dismantle unauthorized settlements.	3.8
4262	86c60cfc9ee1971e12c212c10	the international community must intervene to protect civilians.	dozens of civilians have been killed in the attack.	1.0
4743	2817702d25b2dde671c520d7b	a devastating blast has rocked the region.	a devastating blast has rocked the region.	4.6
2380	0bbfa6a7d97284e18226bd7e0	conservatives will not support him.	the irony is not lost on anyone.	1.4
4980	bdcd20138495aad23bac03741	a total of 15 people were affected in the crash.	a number of people were injured in the crash.	1.0
7365	8437e641cb53a9be568fa6c9e	the dog is playing with its favorite toy.	the toy's beeps startled the dog.	3.75
2405	db7568b7a85745815c170c683	Ron Paul is probably at his ranch in Texas.	it's probably on the internet somewhere.	0.8
2535	5d1f64d282490c20c21d8bd18	the acquisition was deemed not in the best interest of the company.	the proposed acquisition is not in the best interest of the company.	2.75
5146	b0c12e572754060c8c2b95732	the deal marks a significant step towards regional stability.	a major step towards regional stability has been taken.	4.6
4703	d1ea591b6997db6fbbbb9608f	the group's leadership is in disarray.	the leader of the militant group was eliminated in the attack.	2.2
3753	ea2f855ee79c6bd6db1b82d3e	a tragic reminder of the ongoing conflict.	a tragic reminder of the ongoing conflict in the region.	3.8
6436	f8fb1e2798c84a2e98e65c7b1	I prefer salmon with the skin on for its added flavor and texture.	it's a popular seafood option.	1.8
2679	3d12f889b20466fdda02aa507	the service aims to reduce unwanted calls by 80%.	it effectively filters out most unwanted calls.	3.0
7207	ee659d39acb7fc514da868874	the international community is complicit in this conspiracy.	Syria's support for Palestine is the real issue.	3.2
1743	38d747dc7c07fdd476f099222	he swings a bat and runs around the bases.	he is swinging a bat.	3.0
7584	b8a4d6d1b155e92b113781733	the room is furnished with a TV, chair, and coffee table.	a cozy and inviting space is created.	2.2
8047	97d5320dbffa133fd819c3880	you can simply buy bread from a store.	everything will be fine.	0.0
5004	ab454788eabc6d18e3dc3e8e0	he is allowed to travel abroad for the wedding.	he needs to attend his wedding ceremony.	5.0
6688	ae9ed949e6f6fb58a603b40c8	the stars and planets are standing still, while we are moving at incredible speeds.	the duration of his stay and the speed of the Fleet are crucial factors.	1.8
2667	76fde6286ae1649bd69c6f941	negotiating the terms of the merger would have been extremely challenging.	Westpac had no certainty about the deal's approval.	1.8
1889	e3cc850c68c2b1f4aaf0bcca0	it's a beautiful scene.	they are enjoying a leisurely stroll.	4.6
3468	903c76d8c0c9aa3c6f369c2ba	the conventional arms control agreement restricts the deployment of military equipment in europe.	the Cold War era came to an end with this historic agreement.	2.8
1020	64868cc86ef2b78050c7ae19e	they are relaxing in a cozy living room.	they perform a motorcycle stunt.	0.0
1340	163eeb7a73951c7a05e15ed2d	the feline is posing for a photo.	a feline is being photographed.	3.6
1003	0769a52d4061cc44efb3f5ca9	a vehicle moving along a road.	a classic London sight is being observed.	4.0
1526	59264c13b521bbb3d193f0423	she is a patriotic student.	a patriotic scene unfolds in a serene environment.	2.6
6029	18f255867cf4d3487b176a604	it's a scenic backdrop for a ride.	a pink bicycle is situated in front of a building.	2.2
4507	f56983c6922ceb1668aa9f0e9	strengthening its cloud security offerings.	the deal will strengthen McAfee's security portfolio.	3.8
3770	f8039eb5fc6e411dd1c37982d	the administration is trying to clarify the president's statements.	his comments were misinterpreted by the media.	3.6
7979	84e9a448a706ea6a34fa65339	it simplifies my workflow significantly.	it allows for more efficient data processing.	3.0
292	7db891cee5dfd20fc26ec8627	it is digging a tunnel.	it is excavating a burrow.	4.6
3958	a08577378260b5bd02cfbba90	the tumor is not life-threatening.	it's a common condition that requires regular monitoring.	4.6
4236	786008ec21e0c4ed9a46c0bcb	the traumatic event has left a lasting impact on his psyche.	he claims he was not present at the scene.	4.4
2681	acf911fc3b37fe8ea946ea735	I am thrilled with my new family life.	I am thrilled with the result.	3.4
1674	f073c278eb41bf7e506df978e	the scene is a winter wonderland.	the kids are having a fun time with their pet.	1.2
1819	86ac9f800849327ed5bf8a7b5	the child is moving between picnic tables.	he's enjoying the outdoor playground.	3.2
1308	e070a85c3802f58b9eae8d0f4	it follows a predetermined path.	it traverses a verdant corridor.	3.0
6945	1f2d2913410e47c0b43a31eab	he was in possession of several incriminating documents.	he was thoroughly questioned about the sensitive information.	3.5
